id,url,rating,accept time,ip,benchmark,cpu_cores,cpu_freq,gpu_freq
A00236363DL2ZN8A4FD78,www.youtube.com/embed/6ChfTRpOLmk?wmode=transparent,3,Mon Jul 28 12:27:18 GMT 2014,75.109.236.163,photoshop,1,2457,578.0
A00236363DL2ZN8A4FD78,www.youtube.com/embed/cvweDdUL5A0?wmode=transparent,2,Mon Jul 28 12:28:39 GMT 2014,75.109.236.163,epic_citadel,2,1958,578.0
A00236363DL2ZN8A4FD78,www.youtube.com/embed/OrDLNUwV1sc?wmode=transparent,2,Mon Jul 28 12:29:48 GMT 2014,75.109.236.163,epic_citadel,3,1036,578.0
A00236363DL2ZN8A4FD78,www.youtube.com/embed/meZzglmqr4Y?wmode=transparent,1,Mon Jul 28 12:31:01 GMT 2014,75.109.236.163,compubench_rs_facedetection,1,729,578.0
A00236363DL2ZN8A4FD78,www.youtube.com/embed/al4lc5fpWoA?wmode=transparent,4,Mon Jul 28 12:32:52 GMT 2014,75.109.236.163,gladiator,1,729,578.0
A00236363DL2ZN8A4FD78,www.youtube.com/embed/SPT96FBsZgs?wmode=transparent,2,Mon Jul 28 12:33:57 GMT 2014,75.109.236.163,epic_citadel,3,1958,578.0
A0073377ZHUE9505MVC4,www.youtube.com/embed/WmrUXY2AtJo?wmode=transparent,3,Sun Sep 07 22:49:49 GMT 2014,70.119.204.91,compubench_rs_ambiant,4,422,578.0
A01760461GD1NQFD60BEF,www.youtube.com/embed/S0dDSGIdbrU?wmode=transparent,4,Mon Jul 28 03:11:35 GMT 2014,104.13.248.239,photoshop,2,1958,578.0
A01760461GD1NQFD60BEF,www.youtube.com/embed/PsynvhrB1H4?wmode=transparent,1,Mon Jul 28 03:13:07 GMT 2014,104.13.248.239,facebook,3,422,578.0
A01760461GD1NQFD60BEF,www.youtube.com/embed/oDjS-CJgCBo?wmode=transparent,1,Mon Jul 28 03:13:10 GMT 2014,104.13.248.239,angry_birds,1,422,578.0
A01760461GD1NQFD60BEF,www.youtube.com/embed/8MKgUSZ63P4?wmode=transparent,1,Mon Jul 28 03:13:13 GMT 2014,104.13.248.239,compubench_rs_ambiant,3,729,578.0
A01760461GD1NQFD60BEF,www.youtube.com/embed/MGgDhwlfbb8?wmode=transparent,4,Mon Jul 28 03:13:17 GMT 2014,104.13.248.239,facebook,4,2457,200.0
A01760461GD1NQFD60BEF,www.youtube.com/embed/CFJloXQQE1w?wmode=transparent,4,Mon Jul 28 03:13:19 GMT 2014,104.13.248.239,compubench_rs_particles,4,2457,200.0
A05062513MWBSOJW7FC52,www.youtube.com/embed/KO4YpBJf4HA?wmode=transparent,5,Sun Jul 12 17:44:32 PDT 2015,108.33.200.25,compubench_rs_facedetection,8,2100,578.0
A05062513MWBSOJW7FC52,www.youtube.com/embed/Cse9QIx-Fr0?wmode=transparent,5,Sun Jul 12 17:45:42 PDT 2015,108.33.200.25,youtube,2,1036,578.0
A0533430WOF7V9XR82TB,www.youtube.com/embed/coBB4wLjRL8?wmode=transparent,5,Mon Jul 28 02:14:59 GMT 2014,71.50.190.164,epic_citadel,4,2457,462.4
A0533430WOF7V9XR82TB,www.youtube.com/embed/2tTWUrRjmoU?wmode=transparent,4,Mon Jul 28 02:16:37 GMT 2014,71.50.190.164,facebook,4,2457,578.0
A0548924W0OWP39CRDOV,www.youtube.com/embed/LwE2rKghG3Q?wmode=transparent,5,Mon Jul 28 13:07:53 GMT 2014,128.174.85.77,photoshop,3,1036,578.0
A0548924W0OWP39CRDOV,www.youtube.com/embed/IDfC95C3F7Q?wmode=transparent,3,Mon Jul 28 13:15:11 GMT 2014,128.174.85.77,epic_citadel,1,1497,578.0
A0548924W0OWP39CRDOV,www.youtube.com/embed/WzuUDq_nWvk?wmode=transparent,3,Mon Jul 28 13:18:06 GMT 2014,128.174.85.77,chrome_cnn,1,729,578.0
A0548924W0OWP39CRDOV,www.youtube.com/embed/S5ewJoNZP1U?wmode=transparent,1,Mon Jul 28 13:20:07 GMT 2014,128.174.85.77,compubench_rs_ambiant,2,1036,578.0
A0548924W0OWP39CRDOV,www.youtube.com/embed/WY3V88--3Vg?wmode=transparent,5,Mon Jul 28 13:22:24 GMT 2014,128.174.85.77,gladiator,4,729,578.0
A05810003U3SBVAIFPVD,www.youtube.com/embed/sUr38MRVyqo?wmode=transparent,3,Sun Jul 12 15:31:32 PDT 2015,165.166.225.88,youtube,2,1958,578.0
A05810003U3SBVAIFPVD,www.youtube.com/embed/ADEMk7oToxA?wmode=transparent,4,Sun Jul 12 15:34:20 PDT 2015,165.166.225.88,chrome_cnn,2,1958,578.0
A05810003U3SBVAIFPVD,www.youtube.com/embed/2tTWUrRjmoU?wmode=transparent,4,Sun Jul 12 15:36:48 PDT 2015,165.166.225.88,facebook,4,2457,578.0
A05810003U3SBVAIFPVD,www.youtube.com/embed/EC5uj2eFrPU?wmode=transparent,3,Sun Jul 12 15:40:08 PDT 2015,165.166.225.88,photoshop,3,2457,578.0
A05810003U3SBVAIFPVD,www.youtube.com/embed/gA957zAio-U?wmode=transparent,4,Sun Jul 12 15:40:36 PDT 2015,165.166.225.88,compubench_rs_histogram,3,1036,578.0
A05810003U3SBVAIFPVD,www.youtube.com/embed/gOIxh4YV1gs?wmode=transparent,4,Sun Jul 12 15:42:06 PDT 2015,165.166.225.88,compubench_rs_julia,3,1958,578.0
A07191241NJREITABA7A,www.youtube.com/embed/T25_PykihVE?wmode=transparent,4,Thu Jul 31 05:23:05 GMT 2014,137.99.94.40,photoshop,4,1958,578.0
A07191241NJREITABA7A,www.youtube.com/embed/5Bm7firiRMY?wmode=transparent,2,Thu Jul 31 05:24:53 GMT 2014,137.99.94.40,facebook,1,729,578.0
A07191241NJREITABA7A,www.youtube.com/embed/-EKRRUa8om0?wmode=transparent,5,Thu Jul 31 05:26:21 GMT 2014,137.99.94.40,gladiator,2,1958,578.0
